trial,n,log_T2n_minus_log_n
417,29356512961566409575,0.8109302162163274
418,46252201859482182307,-1.9616585060234542
419,266772062485247091593,0.11778303565638737
420,203963621062851207415,0.8109302162163345
421,42189124746116469259,0.11778303565638737
422,230714679165906689389,-1.268511325463507
423,259011152529164086807,0.8109302162163274
424,187939846014013198809,0.11778303565638026
425,36113603390844359881,0.11778303565638026
426,199914323318607260935,0.8109302162163274
427,50070284362196033309,-0.5753641449035598
428,104152661462186860443,0.11778303565638737
429,276534882642659699987,-0.5753641449035669
430,209626917308689782649,0.11778303565638026
431,226579394413150988249,0.11778303565638026
432,198753794441265618025,0.11778303565638737
433,29475791674060586415,0.8109302162163274
434,185683299886441403501,-1.268511325463514
435,152815539192000274219,0.11778303565638737
436,187241339038186029463,0.8109302162163345
437,219825172013137569401,0.11778303565638026
438,233575166718801581357,-1.268511325463507
439,167583486626200873363,-0.5753641449035598
440,203250478926274806825,0.11778303565638026
441,119650579707114737727,0.8109302162163274
442,92233289120444496285,-0.5753641449035598
443,167444141270821928125,-0.5753641449035598
444,69878483392553317733,-1.268511325463507
445,95079181597275109025,-0.5753641449035669
446,240613656060330990943,0.8109302162163274
447,276140169868782520173,-1.268511325463507
448,272712981647479281347,-1.268511325463507
449,138977975580991397365,-1.9616585060234542
450,206493151607262936519,0.8109302162163274
451,266382004617860103945,0.11778303565638026
452,110058221809982855945,0.11778303565638737
453,219038796397851180337,-1.9616585060234542
454,72574906306898846171,0.11778303565638737
455,168320595578956678323,-0.5753641449035598
456,106310741256555779849,0.11778303565638737
457,219232723821930553271,0.8109302162163345
458,240299651170940709005,-3.3479528671433414
459,225710266649862205617,-1.9616585060234542
460,204419539430343784099,-1.9616585060234542
461,184987409158453813073,-1.268511325463507
462,196457099151065668593,-2.6548056865834013
463,76481110477295315957,-1.9616585060234542
464,266907971564475385037,-1.9616585060234542
465,147924512442101015543,0.8109302162163274
466,89189326934502614573,-1.268511325463507
467,249543338818336166131,-0.5753641449035598
468,180338554561279475191,0.8109302162163345
469,60895491331095657855,0.8109302162163345
470,244206105449654210247,0.8109302162163274
471,56498819721570117109,-1.961658506023447
472,293398174015232748161,-0.5753641449035598
473,9888447046598517707,0.11778303565638026
474,87041779673854879817,0.11778303565638026
475,7918060012890541325,-2.654805686583394
476,135635515699395569971,-0.5753641449035598
477,99918036296611071093,-1.9616585060234542
478,49219877499032583385,0.11778303565638737
479,220893386718379709803,0.11778303565638026
480,221011167971023431527,0.8109302162163274
481,13785557991349500213,-3.3479528671433485
482,51439115180052218115,-1.268511325463507
483,66929527643377761897,0.11778303565638026
484,79920861973906306507,0.11778303565638026
485,88756466369193166147,-1.268511325463507
486,26889442127088982911,0.8109302162163274
487,22165441555732565371,0.11778303565638026
488,230868078031947244055,0.8109302162163274
489,23119558327879645729,-0.5753641449035598
490,122613672494904093811,-0.5753641449035669
491,153696882335019827917,-1.9616585060234542
492,217659449773557389323,0.11778303565638737
493,237769058967753591725,-1.268511325463507
494,191599777880934697479,0.8109302162163274
495,280147330443071845117,-0.5753641449035598
496,212091871468188296833,-0.5753641449035669
497,51672061879242968747,0.11778303565638026
498,44724124802951020645,-1.268511325463507
499,61265537299719145149,-0.5753641449035598
500,263908267700545064799,0.8109302162163274
501,253046216979881748797,-0.5753641449035598
502,270978331907034004291,-1.268511325463507
503,26694830520639880125,-0.5753641449035669
504,210407440961533904267,0.11778303565638737
505,74428903994270947361,-0.5753641449035598
506,209671752379892589823,0.8109302162163274
507,84949005769342871425,-0.5753641449035598
508,265116852677416290233,0.11778303565638026
509,212680995800333941891,-1.268511325463507
510,271241622426407295399,0.8109302162163345
511,119741508714139886545,-1.268511325463507
512,100572436173329601307,0.11778303565638737
513,271413768858721309729,-0.5753641449035598
514,49982199910282353955,-1.9616585060234542
515,176021993009118485739,0.11778303565638026
516,217555298839772084861,-0.5753641449035598
517,59476759936700895495,0.8109302162163274
518,203399039560688613577,0.11778303565638026
519,213470839673676126555,0.11778303565638026
520,38483883106060073385,0.11778303565638737
521,289961965724243654097,-1.268511325463507
522,48742543740025485745,-1.9616585060234542
523,80142152285834818737,-1.9616585060234542
524,34462421788599283817,0.11778303565638026
525,97843828048767223177,0.11778303565638737
526,207073377481976629885,-0.5753641449035669
527,115303316538474375593,0.11778303565638737
528,95078102547747389407,0.8109302162163274
529,195630283321363761099,0.11778303565638026
530,19945041301917105211,0.11778303565638026
531,176084824854822244891,0.11778303565638026
532,183667777589512243511,0.8109302162163274
533,233996779602605666767,0.8109302162163274
534,45259900775618093139,-0.5753641449035598
535,93338920838083705505,-0.5753641449035598
536,284368029084985982061,-1.268511325463507
537,188231001051635232377,0.11778303565638026
538,187117660295496865355,0.11778303565638026
539,197718897042169415971,-1.9616585060234542
540,239353405805091763307,0.11778303565638737
541,216945977245256246257,-2.6548056865834013
542,65700868444344663275,0.11778303565638737
543,262713693530187994173,-0.5753641449035598
544,263188398573600217231,0.8109302162163345
545,57938965999262342319,0.8109302162163345
546,108878417316714695373,-1.9616585060234542
547,197769912400499395637,-4.041100047703289
548,106310825103362422707,-0.5753641449035598
549,9174862195047825993,0.11778303565638026
550,238797396487659418887,0.8109302162163274
551,19344328257961415993,0.11778303565638737
552,174701491875536850801,-3.3479528671433414
553,81736190608135220675,-1.268511325463507
554,235451599119670549107,-0.5753641449035669
555,222195503824120975873,-0.5753641449035598
556,222717350227222842643,-0.5753641449035598
557,75978652788116509397,-4.041100047703289
558,223144387511173711621,-1.961658506023447
559,87713625624494498069,-4.041100047703289
560,27671553242705251787,0.11778303565638026
561,74504812273910480949,-4.041100047703289
562,267834414632205241339,0.11778303565638737
563,187045944881111904023,0.8109302162163345
564,195776551533721562739,-0.5753641449035669
565,195419727486300888869,-1.268511325463507
566,282231320990770253295,0.8109302162163274
567,203221082539962985063,0.8109302162163345
568,67769766404925693483,0.11778303565638737
569,31754227343968716253,-0.5753641449035598
570,101096436187223148563,-0.5753641449035598
571,22914482092881747489,-0.5753641449035598
572,3519349765351546091,0.11778303565638737
573,245594277892598523735,0.8109302162163274
574,31864944439037252829,-0.5753641449035598
575,194813975468960929937,-1.268511325463507
576,288917089440344898287,0.8109302162163274
577,191418630916045908907,0.11778303565638737
578,261449068922612045621,-3.3479528671433485
579,194301899234389063689,0.11778303565638737
580,184140200942404414387,-0.5753641449035669
581,282549530581927939673,0.11778303565638026
582,60649009192561102889,0.11778303565638026
583,218010584426569798691,-1.961658506023447
584,23804649938544981397,-2.6548056865834013
585,159674501195429285773,-4.734247228263236
586,119517917049252844387,-2.654805686583394
587,78797508076172232777,0.11778303565638026
588,133541183645952935447,0.8109302162163274
589,56308522239550762309,-2.6548056865834013
590,2535819235411684521,0.11778303565638026
591,242721171586598664731,0.11778303565638026
592,285476270639402634301,-0.5753641449035598
593,189766176494567232025,0.11778303565638737
594,30361457685932604127,0.8109302162163274
595,51073961422303956579,-2.6548056865834013
596,139718099650203159729,-1.9616585060234542
597,35725244531024555529,0.11778303565638026
598,109231858009728707667,-0.5753641449035669
599,291236469239000952745,0.11778303565638737
600,34619801001248063989,-1.961658506023447
601,172201132874017373385,0.11778303565638026
602,286373130869602106773,-2.654805686583394
603,91100361666404452977,-4.041100047703289
604,267555499221400358159,0.8109302162163274
605,98333765366164384521,0.11778303565638737
606,105489517074781576289,-0.5753641449035598
607,198055642493378823565,-4.041100047703289
608,124649865546991766933,-2.6548056865834013
609,237908447197294463131,0.11778303565638026
610,222960958388714012787,-0.5753641449035669
611,93993264981061425685,-3.3479528671433414
612,279294992409393346699,0.11778303565638026
