n,residue,M,event_A,event_B,stopping_time,mean_traj_event_A
137060360,8,12,0,1,108,0.481481
197627913,9,12,1,0,134,0.5
181919753,9,12,1,0,164,0.52439
182689801,9,12,1,0,137,0.50365
61157385,9,12,1,0,137,0.510949
156348425,9,12,1,0,121,0.487603
126267401,9,12,1,0,146,0.513699
262422537,9,12,1,0,155,0.516129
72667145,9,12,1,0,131,0.503817
55984137,9,12,1,0,91,0.450549
172191753,9,12,1,0,221,0.552036
21012489,9,12,1,0,153,0.529412
218292233,9,12,1,0,85,0.423529
39297033,9,12,1,0,198,0.550505
204136457,9,12,1,0,77,0.402597
79097865,9,12,1,0,147,0.517007
67121161,9,12,1,0,77,0.415584
183021577,9,12,1,0,107,0.46729
61575177,9,12,1,0,91,0.450549
202960905,9,12,1,0,180,0.533333
41152521,9,12,1,0,92,0.456522
120107017,9,12,1,0,127,0.496063
43888649,9,12,1,0,173,0.537572
143200265,9,12,1,0,116,0.482759
195903497,9,12,1,0,164,0.52439
158674954,10,12,0,1,121,0.495868
61374474,10,12,0,1,118,0.5
245764106,10,12,0,1,58,0.344828
148811786,10,12,0,1,113,0.486726
57839626,10,12,0,1,156,0.532051
24563722,10,12,0,1,150,0.533333
158773258,10,12,0,1,159,0.528302
6647818,10,12,0,1,80,0.4625
7811082,10,12,0,1,123,0.520325
49225738,10,12,0,1,75,0.426667
222015498,10,12,0,1,169,0.532544
61796362,10,12,0,1,153,0.529412
21487626,10,12,0,1,134,0.522388
100892682,10,12,0,1,152,0.526316
128655370,10,12,0,1,165,0.533333
226033674,10,12,0,1,93,0.451613
86986762,10,12,0,1,136,0.514706
62042122,10,12,0,1,107,0.485981
242081802,10,12,0,1,120,0.491667
89866250,10,12,0,1,93,0.462366
129613834,10,12,0,1,154,0.525974
85336074,10,12,0,1,174,0.54023
55209994,10,12,0,1,64,0.390625
233594890,10,12,0,1,66,0.378788
203087883,11,12,1,0,123,0.487805
157855755,11,12,1,0,132,0.5
136048651,11,12,1,0,162,0.524691
256094219,11,12,1,0,212,0.54717
168824843,11,12,1,0,121,0.487603
53760011,11,12,1,0,102,0.470588
111464459,11,12,1,0,130,0.5
170414091,11,12,1,0,110,0.472727
21274635,11,12,1,0,83,0.445783
14639115,11,12,1,0,154,0.532468
5644299,11,12,1,0,105,0.495238
158674955,11,12,1,0,102,0.460784
171933707,11,12,1,0,137,0.50365
241512459,11,12,1,0,158,0.518987
210063371,11,12,1,0,115,0.478261
168194059,11,12,1,0,56,0.321429
213975051,11,12,1,0,142,0.507042
33804299,11,12,1,0,76,0.421053
34463755,11,12,1,0,103,0.475728
170377227,11,12,1,0,86,0.430233
244740107,11,12,1,0,120,0.483333
59789323,11,12,1,0,80,0.425
134254603,11,12,1,0,78,0.410256
115531787,11,12,1,0,249,0.562249
251752460,12,12,0,1,174,0.534483
191033356,12,12,0,1,134,0.507463
139096076,12,12,0,1,78,0.423077
98369548,12,12,0,1,152,0.526316
111583244,12,12,0,1,111,0.486486
164995084,12,12,0,1,129,0.503876
106954764,12,12,0,1,84,0.440476
132276236,12,12,0,1,78,0.423077
193523724,12,12,0,1,99,0.464646
43687948,12,12,0,1,135,0.518519
150749196,12,12,0,1,105,0.47619
48005132,12,12,0,1,170,0.541176
240467980,12,12,0,1,223,0.556054
48582668,12,12,0,1,94,0.468085
181940236,12,12,0,1,164,0.530488
122101772,12,12,0,1,108,0.481481
209637388,12,12,0,1,96,0.458333
164704268,12,12,0,1,159,0.528302
22040588,12,12,0,1,134,0.522388
175689740,12,12,0,1,137,0.510949
100294668,12,12,0,1,95,0.463158
170049548,12,12,0,1,175,0.537143
