n,v2,log_ratio
8405,7,-3.7533783171
8407,1,0.4055047568
8409,2,-0.2876424332
8411,1,0.4055047380
8413,3,-0.9807896326
8415,1,0.4055047191
8417,2,-0.2876424708
8419,1,0.4055047003
8421,4,-1.6739368508
8423,1,0.4055046815
8425,2,-0.2876425084
8427,1,0.4055046627
8429,3,-0.9807897078
8431,1,0.4055046440
8433,2,-0.2876425460
8435,1,0.4055046252
8437,5,-2.3670841064
8439,1,0.4055046065
8441,2,-0.2876425834
8443,1,0.4055045878
8445,3,-0.9807897827
8447,1,0.4055045691
8449,2,-0.2876426208
8451,1,0.4055045504
8453,4,-1.6739370006
8455,1,0.4055045317
8457,2,-0.2876426581
8459,1,0.4055045131
8461,3,-0.9807898573
8463,1,0.4055044945
8465,2,-0.2876426954
8467,1,0.4055044759
8469,6,-3.0602314362
8471,1,0.4055044573
8473,2,-0.2876427326
8475,1,0.4055044387
8477,3,-0.9807899317
8479,1,0.4055044201
8481,2,-0.2876427697
8483,1,0.4055044016
8485,4,-1.6739371493
8487,1,0.4055043831
8489,2,-0.2876428067
8491,1,0.4055043646
8493,3,-0.9807900058
8495,1,0.4055043461
8497,2,-0.2876428437
8499,1,0.4055043276
8501,5,-2.3670844038
8503,1,0.4055043092
8505,2,-0.2876428806
8507,1,0.4055042908
8509,3,-0.9807900796
8511,1,0.4055042723
8513,2,-0.2876429174
8515,1,0.4055042539
8517,4,-1.6739372969
8519,1,0.4055042356
8521,2,-0.2876429542
8523,1,0.4055042172
8525,3,-0.9807901531
8527,1,0.4055041989
8529,2,-0.2876429909
8531,1,0.4055041805
8533,10,-5.8328204537
8535,1,0.4055041622
8537,2,-0.2876430275
8539,1,0.4055041439
8541,3,-0.9807902263
8543,1,0.4055041256
8545,2,-0.2876430640
8547,1,0.4055041074
8549,4,-1.6739374434
8551,1,0.4055040891
8553,2,-0.2876431005
8555,1,0.4055040709
8557,3,-0.9807902993
8559,1,0.4055040527
8561,2,-0.2876431369
8563,1,0.4055040345
8565,5,-2.3670846968
8567,1,0.4055040163
8569,2,-0.2876431733
8571,1,0.4055039982
8573,3,-0.9807903720
8575,1,0.4055039800
8577,2,-0.2876432096
8579,1,0.4055039619
8581,4,-1.6739375888
8583,1,0.4055039438
8585,2,-0.2876432458
8587,1,0.4055039257
8589,3,-0.9807904444
8591,1,0.4055039077
8593,2,-0.2876432819
8595,1,0.4055038896
8597,6,-3.0602320222
8599,1,0.4055038716
8601,2,-0.2876433180
8603,1,0.4055038535
8605,3,-0.9807905166
8607,1,0.4055038355
8609,2,-0.2876433540
8611,1,0.4055038175
8613,4,-1.6739377331
8615,1,0.4055037996
8617,2,-0.2876433900
8619,1,0.4055037816
8621,3,-0.9807905885
8623,1,0.4055037637
8625,2,-0.2876434259
8627,1,0.4055037457
8629,5,-2.3670849854
8631,1,0.4055037278
8633,2,-0.2876434617
8635,1,0.4055037099
8637,3,-0.9807906601
8639,1,0.4055036921
8641,2,-0.2876434974
8643,1,0.4055036742
8645,4,-1.6739378764
8647,1,0.4055036564
8649,2,-0.2876435331
8651,1,0.4055036386
8653,3,-0.9807907315
8655,1,0.4055036207
8657,2,-0.2876435687
8659,1,0.4055036030
8661,7,-3.7533794893
8663,1,0.4055035852
8665,2,-0.2876436043
8667,1,0.4055035674
8669,3,-0.9807908026
8671,1,0.4055035497
8673,2,-0.2876436397
8675,1,0.4055035320
8677,4,-1.6739380186
8679,1,0.4055035143
8681,2,-0.2876436752
8683,1,0.4055034966
8685,3,-0.9807908734
8687,1,0.4055034789
8689,2,-0.2876437105
8691,1,0.4055034612
8693,5,-2.3670852698
8695,1,0.4055034436
8697,2,-0.2876437458
8699,1,0.4055034260
8701,3,-0.9807909440
8703,1,0.4055034083
8705,2,-0.2876437810
8707,1,0.4055033907
8709,4,-1.6739381597
8711,1,0.4055033732
8713,2,-0.2876438162
8715,1,0.4055033556
8717,3,-0.9807910143
8719,1,0.4055033381
8721,2,-0.2876438513
8723,1,0.4055033205
8725,6,-3.0602325910
8727,1,0.4055033030
8729,2,-0.2876438863
8731,1,0.4055032855
8733,3,-0.9807910843
8735,1,0.4055032680
8737,2,-0.2876439213
8739,1,0.4055032506
8741,4,-1.6739382998
8743,1,0.4055032331
8745,2,-0.2876439562
8747,1,0.4055032157
8749,3,-0.9807911541
8751,1,0.4055031983
8753,2,-0.2876439910
8755,1,0.4055031809
8757,5,-2.3670855501
8759,1,0.4055031635
8761,2,-0.2876440258
8763,1,0.4055031461
8765,3,-0.9807912237
8767,1,0.4055031288
8769,2,-0.2876440605
8771,1,0.4055031114
8773,4,-1.6739384389
8775,1,0.4055030941
8777,2,-0.2876440951
8779,1,0.4055030768
8781,3,-0.9807912930
8783,1,0.4055030595
8785,2,-0.2876441297
8787,1,0.4055030422
8789,8,-4.4465272303
8791,1,0.4055030250
8793,2,-0.2876441642
8795,1,0.4055030077
8797,3,-0.9807913620
8799,1,0.4055029905
8801,2,-0.2876441987
8803,1,0.4055029733
8805,4,-1.6739385770
8807,1,0.4055029561
8809,2,-0.2876442331
8811,1,0.4055029389
8813,3,-0.9807914308
8815,1,0.4055029217
8817,2,-0.2876442674
8819,1,0.4055029046
8821,5,-2.3670858262
8823,1,0.4055028874
8825,2,-0.2876443017
8827,1,0.4055028703
8829,3,-0.9807914994
8831,1,0.4055028532
8833,2,-0.2876443359
8835,1,0.4055028361
8837,4,-1.6739387141
8839,1,0.4055028191
8841,2,-0.2876443700
8843,1,0.4055028020
8845,3,-0.9807915676
8847,1,0.4055027850
8849,2,-0.2876444041
8851,1,0.4055027679
8853,6,-3.0602331434
8855,1,0.4055027509
8857,2,-0.2876444381
8859,1,0.4055027339
8861,3,-0.9807916357
8863,1,0.4055027169
8865,2,-0.2876444721
8867,1,0.4055027000
8869,4,-1.6739388502
8871,1,0.4055026830
8873,2,-0.2876445060
8875,1,0.4055026661
8877,3,-0.9807917035
8879,1,0.4055026492
8881,2,-0.2876445398
8883,1,0.4055026323
8885,5,-2.3670860984
8887,1,0.4055026154
8889,2,-0.2876445736
8891,1,0.4055025985
8893,3,-0.9807917710
8895,1,0.4055025816
8897,2,-0.2876446073
8899,1,0.4055025648
8901,4,-1.6739389853
8903,1,0.4055025480
8905,2,-0.2876446410
8907,1,0.4055025312
8909,3,-0.9807918384
8911,1,0.4055025144
8913,2,-0.2876446746
8915,1,0.4055024976
8917,7,-3.7533805942
8919,1,0.4055024808
8921,2,-0.2876447081
8923,1,0.4055024641
8925,3,-0.9807919054
8927,1,0.4055024473
8929,2,-0.2876447416
8931,1,0.4055024306
8933,4,-1.6739391194
8935,1,0.4055024139
8937,2,-0.2876447750
8939,1,0.4055023972
8941,3,-0.9807919723
8943,1,0.4055023805
8945,2,-0.2876448084
8947,1,0.4055023639
8949,5,-2.3670863667
8951,1,0.4055023472
8953,2,-0.2876448417
8955,1,0.4055023306
8957,3,-0.9807920389
8959,1,0.4055023139
8961,2,-0.2876448749
8963,1,0.4055022973
8965,4,-1.6739392526
8967,1,0.4055022808
8969,2,-0.2876449081
8971,1,0.4055022642
8973,3,-0.9807921052
8975,1,0.4055022476
8977,2,-0.2876449412
8979,1,0.4055022311
8981,6,-3.0602336800
8983,1,0.4055022145
8985,2,-0.2876449743
8987,1,0.4055021980
8989,3,-0.9807921713
8991,1,0.4055021815
8993,2,-0.2876450073
8995,1,0.4055021650
8997,4,-1.6739393849
8999,1,0.4055021486
9001,2,-0.2876450402
9003,1,0.4055021321
9005,3,-0.9807922372
9007,1,0.4055021157
9009,2,-0.2876450731
9011,1,0.4055020992
9013,5,-2.3670866312
9015,1,0.4055020828
9017,2,-0.2876451059
9019,1,0.4055020664
9021,3,-0.9807923029
9023,1,0.4055020501
9025,2,-0.2876451387
9027,1,0.4055020337
9029,4,-1.6739395162
9031,1,0.4055020173
9033,2,-0.2876451714
9035,1,0.4055020010
9037,3,-0.9807923683
9039,1,0.4055019847
9041,2,-0.2876452041
9043,1,0.4055019684
9045,9,-5.1396754843
9047,1,0.4055019521
9049,2,-0.2876452366
9051,1,0.4055019358
9053,3,-0.9807924335
9055,1,0.4055019195
9057,2,-0.2876452692
9059,1,0.4055019033
9061,4,-1.6739396466
9063,1,0.4055018870
9065,2,-0.2876453017
9067,1,0.4055018708
9069,3,-0.9807924984
9071,1,0.4055018546
9073,2,-0.2876453341
9075,1,0.4055018384
9077,5,-2.3670868920
9079,1,0.4055018222
9081,2,-0.2876453664
9083,1,0.4055018060
9085,3,-0.9807925632
9087,1,0.4055017899
9089,2,-0.2876453988
9091,1,0.4055017737
9093,4,-1.6739397760
9095,1,0.4055017576
9097,2,-0.2876454310
9099,1,0.4055017415
9101,3,-0.9807926277
9103,1,0.4055017254
9105,2,-0.2876454632
9107,1,0.4055017093
9109,6,-3.0602342015
9111,1,0.4055016933
9113,2,-0.2876454953
9115,1,0.4055016772
9117,3,-0.9807926919
9119,1,0.4055016612
9121,2,-0.2876455274
9123,1,0.4055016451
9125,4,-1.6739399046
9127,1,0.4055016291
9129,2,-0.2876455594
9131,1,0.4055016131
9133,3,-0.9807927560
9135,1,0.4055015971
9137,2,-0.2876455914
9139,1,0.4055015812
9141,5,-2.3670871491
9143,1,0.4055015652
9145,2,-0.2876456233
9147,1,0.4055015493
9149,3,-0.9807928198
9151,1,0.4055015333
9153,2,-0.2876456552
9155,1,0.4055015174
9157,4,-1.6739400322
9159,1,0.4055015015
9161,2,-0.2876456870
9163,1,0.4055014856
9165,3,-0.9807928834
9167,1,0.4055014698
9169,2,-0.2876457187
9171,1,0.4055014539
9173,7,-3.7533816374
9175,1,0.4055014381
9177,2,-0.2876457504
9179,1,0.4055014222
9181,3,-0.9807929468
9183,1,0.4055014064
9185,2,-0.2876457821
9187,1,0.4055013906
9189,4,-1.6739401590
9191,1,0.4055013748
9193,2,-0.2876458136
9195,1,0.4055013590
9197,3,-0.9807930100
9199,1,0.4055013433
9201,2,-0.2876458452
9203,1,0.4055013275
9205,5,-2.3670874026
9207,1,0.4055013118
9209,2,-0.2876458766
9211,1,0.4055012961
9213,3,-0.9807930729
9215,1,0.4055012804
9217,2,-0.2876459080
9219,1,0.4055012647
9221,4,-1.6739402849
9223,1,0.4055012490
9225,2,-0.2876459394
9227,1,0.4055012333
9229,3,-0.9807931356
9231,1,0.4055012177
9233,2,-0.2876459707
9235,1,0.4055012020
9237,6,-3.0602347086
9239,1,0.4055011864
9241,2,-0.2876460020
9243,1,0.4055011708
9245,3,-0.9807931981
9247,1,0.4055011552
9249,2,-0.2876460332
9251,1,0.4055011396
9253,4,-1.6739404099
9255,1,0.4055011240
9257,2,-0.2876460643
9259,1,0.4055011085
9261,3,-0.9807932604
9263,1,0.4055010929
9265,2,-0.2876460954
9267,1,0.4055010774
9269,5,-2.3670876526
9271,1,0.4055010619
9273,2,-0.2876461264
9275,1,0.4055010464
9277,3,-0.9807933225
9279,1,0.4055010309
9281,2,-0.2876461574
9283,1,0.4055010154
9285,4,-1.6739405340
9287,1,0.4055009999
9289,2,-0.2876461884
9291,1,0.4055009845
9293,3,-0.9807933844
9295,1,0.4055009690
9297,2,-0.2876462192
9299,1,0.4055009536
9301,8,-4.4465293180
9303,1,0.4055009382
9305,2,-0.2876462501
9307,1,0.4055009228
9309,3,-0.9807934460
9311,1,0.4055009074
9313,2,-0.2876462808
9315,1,0.4055008920
9317,4,-1.6739406573
9319,1,0.4055008767
9321,2,-0.2876463115
9323,1,0.4055008613
9325,3,-0.9807935074
9327,1,0.4055008460
9329,2,-0.2876463422
9331,1,0.4055008307
9333,5,-2.3670878992
9335,1,0.4055008154
9337,2,-0.2876463728
9339,1,0.4055008001
9341,3,-0.9807935687
9343,1,0.4055007848
9345,2,-0.2876464034
9347,1,0.4055007695
9349,4,-1.6739407798
9351,1,0.4055007543
9353,2,-0.2876464339
9355,1,0.4055007390
9357,3,-0.9807936297
9359,1,0.4055007238
9361,2,-0.2876464644
9363,1,0.4055007086
9365,6,-3.0602352018
9367,1,0.4055006934
9369,2,-0.2876464948
9371,1,0.4055006782
9373,3,-0.9807936905
9375,1,0.4055006630
9377,2,-0.2876465251
9379,1,0.4055006479
9381,4,-1.6739409014
